"US_ISRM_id","pol_abbr","ems_qty","ems_unit"
"1060","VOC",30.0139,"ton/yr"
"1060","NH3",2.23009,"ton/yr"
"1061","PM25",3.34411,"ton/yr"
"1061","NOx",34.3047,"ton/yr"
"1061","SOx",0.465062,"ton/yr"
"1061","VOC",33.0465,"ton/yr"
"1061","NH3",2.67812,"ton/yr"
"1062","PM25",4.43335,"ton/yr"
"1062","NOx",33.2741,"ton/yr"
"1062","SOx",0.369519,"ton/yr"
"1062","VOC",41.8846,"ton/yr"
"1062","NH3",3.29562,"ton/yr"
"1063","PM25",2.45956,"ton/yr"
"1063","NOx",18.0297,"ton/yr"
"1063","SOx",0.204025,"ton/yr"
"1063","VOC",25.6912,"ton/yr"
"1063","NH3",2.00671,"ton/yr"
"1064","PM25",2.97411,"ton/yr"
"1064","NOx",19.1239,"ton/yr"
"1064","SOx",0.217989,"ton/yr"
"1064","VOC",27.776,"ton/yr"
"1064","NH3",2.3594,"ton/yr"
"1065","PM25",3.21495,"ton/yr"
"1065","NOx",6.34185,"ton/yr"
"1065","SOx",0.0573809,"ton/yr"
"1065","VOC",13.5281,"ton/yr"
"1065","NH3",0.640167,"ton/yr"
"1066","PM25",5.97094,"ton/yr"
"1066","NOx",8.4226,"ton/yr"
"1066","SOx",0.150436,"ton/yr"
"1066","VOC",24.6898,"ton/yr"
"1066","NH3",1.21086,"ton/yr"
"1067","PM25",3.18872,"ton/yr"
"1067","NOx",10.2386,"ton/yr"
"1067","SOx",0.136498,"ton/yr"
"1067","VOC",26.1491,"ton/yr"
"1067","NH3",0.899825,"ton/yr"
"1068","PM25",3.27134,"ton/yr"
"1068","NOx",10.5864,"ton/yr"
"1068","SOx",0.084556,"ton/yr"
"1068","VOC",28.7085,"ton/yr"
"1068","NH3",1.44385,"ton/yr"
"1069","PM25",4.15633,"ton/yr"
"1069","NOx",12.3898,"ton/yr"
"1069","SOx",0.10557,"ton/yr"
"1069","VOC",30.7413,"ton/yr"
"1069","NH3",1.65933,"ton/yr"
"1070","PM25",3.76211,"ton/yr"
"1070","NOx",15.074,"ton/yr"
"1070","SOx",0.11987,"ton/yr"
"1070","VOC",32.657,"ton/yr"
"1070","NH3",1.93677,"ton/yr"
"1071","PM25",3.13008,"ton/yr"
"1071","NOx",22.519,"ton/yr"
"1071","SOx",0.151533,"ton/yr"
"1071","VOC",26.4745,"ton/yr"
"1071","NH3",1.73161,"ton/yr"
"1072","PM25",2.67195,"ton/yr"
"1072","NOx",7.97295,"ton/yr"
"1072","SOx",0.0621143,"ton/yr"
"1072","VOC",23.6181,"ton/yr"
"1072","NH3",1.26677,"ton/yr"
"1073","PM25",2.19713,"ton/yr"
"1073","NOx",9.15245,"ton/yr"
"1073","SOx",0.0690677,"ton/yr"
"1073","VOC",19.0148,"ton/yr"
"1073","NH3",1.05651,"ton/yr"
"1074","PM25",3.66781,"ton/yr"
"1074","NOx",13.8367,"ton/yr"
"1074","SOx",0.143381,"ton/yr"
"1074","VOC",14.0467,"ton/yr"
"1074","NH3",1.24605,"ton/yr"
"1075","PM25",3.52652,"ton/yr"
"1075","NOx",13.4081,"ton/yr"
"1075","SOx",0.113679,"ton/yr"
"1075","VOC",11.4885,"ton/yr"
"1075","NH3",0.955501,"ton/yr"
"1076","PM25",2.50787,"ton/yr"
"1076","NOx",10.8446,"ton/yr"
"1076","SOx",0.15453,"ton/yr"
"1076","VOC",15.7581,"ton/yr"
"1076","NH3",1.50145,"ton/yr"
"1077","PM25",1.60556,"ton/yr"
"1077","NOx",1.99312,"ton/yr"
"1077","SOx",0.0756341,"ton/yr"
"1077","VOC",7.56398,"ton/yr"
"1077","NH3",5.86053,"ton/yr"
"1078","PM25",1.81455,"ton/yr"
"1078","NOx",6.40102,"ton/yr"
"1078","SOx",0.0514399,"ton/yr"
"1078","VOC",12.4515,"ton/yr"
"1078","NH3",0.643875,"ton/yr"
"1079","PM25",3.125,"ton/yr"
"1079","NOx",18.975,"ton/yr"
"1079","SOx",0.286384,"ton/yr"
"1079","VOC",28.5473,"ton/yr"
"1079","NH3",2.45209,"ton/yr"
"1080","PM25",1.92489,"ton/yr"
"1080","NOx",6.83597,"ton/yr"
"1080","SOx",0.0559007,"ton/yr"
"1080","VOC",13.2165,"ton/yr"
"1080","NH3",0.878533,"ton/yr"
"1081","PM25",2.27238,"ton/yr"
"1081","NOx",11.9136,"ton/yr"
"1081","SOx",0.0903006,"ton/yr"
"1081","VOC",15.9979,"ton/yr"
"1081","NH3",1.00661,"ton/yr"
"1082","PM25",1.75947,"ton/yr"
"1082","NOx",9.13918,"ton/yr"
"1082","SOx",0.0722141,"ton/yr"
"1082","VOC",15.27,"ton/yr"
"1082","NH3",0.913785,"ton/yr"
